table_simplimed_old;fieldname;table_simplimed_new;fieldname;comment;
Tabelle_JourBuch;IDZ;tbl_bookkeeping;fld_tenant_id;will be reassigned;
Tabelle_JourBuch;IDk;tbl_bookkeeping;fld_account_key;;
Tabelle_JourBuch;IDG;tbl_bookkeeping;fld_counter_account_key;;
Tabelle_JourBuch;;tbl_bookkeeping;fld_booking_type;;
Tabelle_JourBuch;IDB;tbl_bookkeeping;fld_bank_id;will be reassigned;
Tabelle_JourBuch;IDP;tbl_bookkeeping;fld_contact_id;will be reassigned;
Tabelle_JourBuch;IDR;tbl_bookkeeping;fld_receipt_id;will be reassigned;
Tabelle_JourBuch;IDM;tbl_bookkeeping;fld_entity_id;will be reassigned;
Tabelle_JourBuch;W‰hrung;tbl_bookkeeping;fld_currency_id;;
Tabelle_JourBuch;RechNr;tbl_bookkeeping;fld_invoice_no;;
Tabelle_JourBuch;IDKurz;tbl_bookkeeping;fld_short_name;;
Tabelle_JourBuch;IDGegen;tbl_bookkeeping;fld_counter_short;;
Tabelle_JourBuch;Buchtext;tbl_bookkeeping;fld_booking_text;;
Tabelle_JourBuch;Kommentar;tbl_bookkeeping;fld_comment;;
Tabelle_JourBuch;Datei;tbl_bookkeeping;fld_filename;;
Tabelle_JourBuch;IDR;tbl_bookkeeping;fld_receipt_no;;
Tabelle_JourBuch;Ausgabe;tbl_bookkeeping;fld_expense;;
Tabelle_JourBuch;Einnahme;tbl_bookkeeping;fld_income;;
Tabelle_JourBuch;Steuer;tbl_bookkeeping;fld_tax_rate;;
Tabelle_JourBuch;Abziehbar;tbl_bookkeeping;fld_private_share;;
Tabelle_JourBuch;TSEStrSig;tbl_bookkeeping;fld_tse_sig_string;;
Tabelle_JourBuch;TSEString;tbl_bookkeeping;fld_tse_string;;
Tabelle_JourBuch;TSESign;tbl_bookkeeping;fld_tse_log;;
Tabelle_JourBuch;TSEZahl;tbl_bookkeeping;fld_tse_count;;
Tabelle_JourBuch;Datum;tbl_bookkeeping;fld_booking_date;;
Tabelle_JourBuch;Berichtdatum;tbl_bookkeeping;fld_report_date;;
Tabelle_JourBuch;Ermittlung;tbl_bookkeeping;fld_determined;;
Tabelle_JourBuch;Anfang;tbl_bookkeeping;fld_opening;;
Tabelle_JourBuch;Selekt;tbl_bookkeeping;fld_selected;;
Tabelle_JourBuch;Drucken;tbl_bookkeeping;fld_print;;
Tabelle_JourBuch;Serie;tbl_bookkeeping;fld_series;;
Tabelle_JourBuch;Doppelt;tbl_bookkeeping;fld_duplicate;;
Tabelle_JourBuch;Zuordnung;tbl_bookkeeping;fld_assigned;;
Tabelle_JourBuch;Lock;tbl_bookkeeping;fld_locked;;
Tabelle_JourBuch;Storniert;tbl_bookkeeping;fld_passive;;
;;;;;
Tabelle_TermPro;IDA;tbl_appoint_protocoll;fld_id;will be reassigned;
tbl_appoint_protocoll;GuiID;tbl_appoint_protocoll;fld_guiid;will be reassigned;
tbl_appoint_protocoll;ID2;tbl_appoint_protocoll;fld_appointment_id;will be reassigned;
tbl_appoint_protocoll;;tbl_appoint_protocoll;fld_entity_id;will be reassigned;
tbl_appoint_protocoll;Datum;tbl_appoint_protocoll;fld_date_log;;
tbl_appoint_protocoll;IDKurz;tbl_appoint_protocoll;fld_logtext;;
tbl_appoint_protocoll;Selekt;tbl_appoint_protocoll;fld_select;;
